curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
283,believe,compulsory_education,believe,primary,126
284,bell,compulsory_education,bell,primary,126
285,belong,high_school_compulsory,belong,primary,126
286,below,compulsory_education,below,primary,126
287,belt,high_school_compulsory,belt,primary,126
288,bend,high_school_selective_compulsory,bend,primary,126
289,beneath,high_school_compulsory,beneath,primary,126
290,benefit,high_school_compulsory,benefit,primary,126
291,beside,compulsory_education,beside,primary,126
292,best,compulsory_education,best,primary,126
293,bet,high_school_selective_compulsory,bet,primary,126
294,better,compulsory_education,better,primary,126
295,between,compulsory_education,between,primary,127
296,beyond,high_school_compulsory,beyond,primary,127
297,big,compulsory_education,big,primary,127
298,bike (bicycle),compulsory_education,bike,primary,127
298,bike (bicycle),compulsory_education,bicycle,parenthetical_variant,127
299,bill,compulsory_education,bill,primary,127
300,billion,high_school_selective_compulsory,billion,primary,127
301,biology,high_school_selective_compulsory,biology,primary,127
302,bird,compulsory_education,bird,primary,127
303,birth,compulsory_education,birth,primary,127
304,birthday,compulsory_education,birthday,primary,127
305,biscuit,compulsory_education,biscuit,primary,127
306,bit,compulsory_education,bit,primary,127
307,bite,high_school_compulsory,bite,primary,127
308,bitter,high_school_selective_compulsory,bitter,primary,127
309,black,compulsory_education,black,primary,127
310,blackboard,compulsory_education,blackboard,primary,127
311,blame,high_school_selective_compulsory,blame,primary,127
312,blank,high_school_selective_compulsory,blank,primary,127
313,blanket,high_school_selective_compulsory,blanket,primary,127
314,bleed,high_school_selective_compulsory,bleed,primary,127
315,bless,high_school_selective_compulsory,bless,primary,127
316,blind,compulsory_education,blind,primary,127
317,block,compulsory_education,block,primary,127
318,blog,high_school_compulsory,blog,primary,127
319,blood,compulsory_education,blood,primary,127
320,blouse,compulsory_education,blouse,primary,127
321,blow,compulsory_education,blow,primary,127
322,blue,compulsory_education,blue,primary,127
323,board,compulsory_education,board,primary,127
324,boat,compulsory_education,boat,primary,127
325,body,compulsory_education,body,primary,127
326,boil,high_school_selective_compulsory,boil,primary,127
327,bomb,high_school_selective_compulsory,bomb,primary,127
328,bond,high_school_selective_compulsory,bond,primary,127
329,bone,high_school_compulsory,bone,primary,127
330,bonus,high_school_selective_compulsory,bonus,primary,127
331,book,compulsory_education,book,primary,127
332,boost,high_school_selective_compulsory,boost,primary,127
333,boot,high_school_compulsory,boot,primary,127
334,border,high_school_selective_compulsory,border,primary,127
335,bored,compulsory_education,bored,primary,127
336,boring,compulsory_education,boring,primary,127
337,born,compulsory_education,born,primary,127
338,borrow,compulsory_education,borrow,primary,127
339,boss,compulsory_education,boss,primary,127
340,botanical,high_school_selective_compulsory,botanical,primary,127
341,both,compulsory_education,both,primary,127
342,bother,high_school_selective_compulsory,bother,primary,127
343,bottle,compulsory_education,bottle,primary,127
344,bottom,compulsory_education,bottom,primary,127
345,bounce,high_school_selective_compulsory,bounce,primary,127
346,bound,high_school_selective_compulsory,bound,primary,127
347,boundary,high_school_selective_compulsory,boundary,primary,127
348,bow,high_school_selective_compulsory,bow,primary,127
349,bowl,compulsory_education,bowl,primary,127
350,bowling,high_school_selective_compulsory,bowling,primary,127
351,box,compulsory_education,box,primary,128
352,boxing,high_school_compulsory,boxing,primary,128
353,boy,compulsory_education,boy,primary,128
354,brain,compulsory_education,brain,primary,128
355,branch,high_school_compulsory,branch,primary,128
356,brave,compulsory_education,brave,primary,128
357,bread,compulsory_education,bread,primary,128
358,break,compulsory_education,break,primary,128
359,breakfast,compulsory_education,breakfast,primary,128
360,breast,high_school_selective_compulsory,breast,primary,128
361,breath,high_school_selective_compulsory,breath,primary,128
362,breathe,high_school_compulsory,breathe,primary,128
363,brick,high_school_selective_compulsory,brick,primary,128
364,bride / bridegroom,high_school_selective_compulsory,bride / bridegroom,primary,128
364,bride / bridegroom,high_school_selective_compulsory,bride,slash_component,128
364,bride / bridegroom,high_school_selective_compulsory,bridegroom,slash_component,128
365,bridge,compulsory_education,bridge,primary,128
366,brief,high_school_compulsory,brief,primary,128
367,bright,compulsory_education,bright,primary,128
368,brilliant,high_school_selective_compulsory,brilliant,primary,128
369,bring,compulsory_education,bring,primary,128
370,Britain,compulsory_education,Britain,primary,128
371,British,compulsory_education,British,primary,128
372,broad,high_school_compulsory,broad,primary,128
373,broadcast,high_school_selective_compulsory,broadcast,primary,128
374,brochure,high_school_compulsory,brochure,primary,128
375,brother,compulsory_education,brother,primary,128
376,brown,compulsory_education,brown,primary,128
377,brush,compulsory_education,brush,primary,128
378,budget,high_school_selective_compulsory,budget,primary,128
379,buffet,high_school_selective_compulsory,buffet,primary,128
380,build,compulsory_education,build,primary,128
381,building,compulsory_education,building,primary,128
382,bunch,high_school_selective_compulsory,bunch,primary,128
383,burn,compulsory_education,burn,primary,128
384,bury,high_school_selective_compulsory,bury,primary,128
385,bus,compulsory_education,bus,primary,128
386,business,compulsory_education,business,primary,128
