sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
172,artificial**,artificial,artificial,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
173,artist,artist,artist,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
174,as,as,as,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
175,ashamed**,ashamed,ashamed,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
176,Asia,Asia,Asia,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
177,Asian,Asian,Asian,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
178,aside**,aside,aside,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
179,ask,ask,ask,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
180,asleep,asleep,asleep,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
181,aspect*,aspect,aspect,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
182,assess**,assess,assess,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
183,assign**,assign,assign,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
184,assistant**,assistant,assistant,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
185,association**,association,association,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
186,assume*,assume,assume,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
187,assumption**,assumption,assumption,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
188,astonish**,astonish,astonish,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
189,astronaut**,astronaut,astronaut,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
190,astronomer**,astronomer,astronomer,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
191,at,at,at,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
192,athlete*,athlete,athlete,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
193,Atlantic*,Atlantic,Atlantic,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
194,atmosphere**,atmosphere,atmosphere,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
195,attach*,attach,attach,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
196,attack*,attack,attack,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
197,attain**,attain,attain,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
198,attempt*,attempt,attempt,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
199,attend,attend,attend,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
200,attention,attention,attention,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
201,attitude*,attitude,attitude,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
