sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id,coverage_status,provisional_legacy_words
1239,grocery**,grocery,grocery,,**,high_school_selective_compulsory,word,G,152,144,moe-hs-english-2017-2020-appendix-2,not_covered,
1249,guideline*,guideline,guideline,,*,high_school_compulsory,word,G,152,144,moe-hs-english-2017-2020-appendix-2,not_covered,
1253,guy*,guy,guy,,*,high_school_compulsory,word,G,152,144,moe-hs-english-2017-2020-appendix-2,not_covered,
1257,habitat**,habitat,habitat,,**,high_school_selective_compulsory,word,H,152,144,moe-hs-english-2017-2020-appendix-2,not_covered,
1276,harmonious**,harmonious,harmonious,,**,high_school_selective_compulsory,word,H,152,144,moe-hs-english-2017-2020-appendix-2,not_covered,
1297,hence**,hence,hence,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1304,hesitate*,hesitate,hesitate,,*,high_school_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1308,highlight**,highlight,highlight,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1309,hike**,hike,hike,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1315,historic**,historic,historic,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1337,household**,household,household,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1339,housing**,housing,housing,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1345,humble**,humble,humble,,**,high_school_selective_compulsory,word,H,153,145,moe-hs-english-2017-2020-appendix-2,not_covered,
1357,ice-cream,ice-cream,ice-cream,,,compulsory_education,hyphenated,I,154,146,moe-hs-english-2017-2020-appendix-2,provisional_orthographic_match,ice cream
1359,ideal**,ideal,ideal,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1360,identical**,identical,identical,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1361,identify**,identify,identify,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1369,illustrate*,illustrate,illustrate,,*,high_school_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1370,image*,image,image,,*,high_school_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1373,impact*,impact,impact,,*,high_school_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1374,imply**,imply,imply,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1387,incredible**,incredible,incredible,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1393,individual*,individual,individual,,*,high_school_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1395,infection**,infection,infection,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1396,infer**,infer,infer,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1398,influential**,influential,influential,,**,high_school_selective_compulsory,word,I,154,146,moe-hs-english-2017-2020-appendix-2,not_covered,
1401,initiative**,initiative,initiative,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1403,inner**,inner,inner,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1405,innovation**,innovation,innovation,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1406,input**,input,input,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1407,inquire**,inquire,inquire,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1410,insight**,insight,insight,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1412,inspection**,inspection,inspection,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1414,instance**,instance,instance,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1422,integrate**,integrate,integrate,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1423,integrity**,integrity,integrity,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1424,intelligent*,intelligent,intelligent,,*,high_school_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1426,intense**,intense,intense,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1428,interaction**,interaction,interaction,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1431,internal**,internal,internal,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1434,interpret**,interpret,interpret,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1436,intervention**,intervention,intervention,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1443,investigate**,investigate,investigate,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1444,investment**,investment,investment,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1446,involve**,involve,involve,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1449,issue*,issue,issue,,*,high_school_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1451,item**,item,item,,**,high_school_selective_compulsory,word,I,155,147,moe-hs-english-2017-2020-appendix-2,not_covered,
1465,joint**,joint,joint,,**,high_school_selective_compulsory,word,J,156,148,moe-hs-english-2017-2020-appendix-2,not_covered,
1467,journal*,journal,journal,,*,high_school_compulsory,word,J,156,148,moe-hs-english-2017-2020-appendix-2,not_covered,
1480,justify**,justify,justify,,**,high_school_selective_compulsory,word,J,156,148,moe-hs-english-2017-2020-appendix-2,not_covered,
1496,kit**,kit,kit,,**,high_school_selective_compulsory,word,K,156,148,moe-hs-english-2017-2020-appendix-2,not_covered,
1505,label**,label,label,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1513,landscape**,landscape,landscape,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1517,laptop**,laptop,laptop,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1523,launch**,launch,launch,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1530,leadership**,leadership,leadership,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1542,leisure**,leisure,leisure,,**,high_school_selective_compulsory,word,L,157,149,moe-hs-english-2017-2020-appendix-2,not_covered,
1563,limited*,limited,limited,,*,high_school_compulsory,word,L,158,150,moe-hs-english-2017-2020-appendix-2,not_covered,
1570,literally**,literally,literally,,**,high_school_selective_compulsory,word,L,158,150,moe-hs-english-2017-2020-appendix-2,not_covered,
1579,loan**,loan,loan,,**,high_school_selective_compulsory,word,L,158,150,moe-hs-english-2017-2020-appendix-2,not_covered,
1581,location*,location,location,,*,high_school_compulsory,word,L,158,150,moe-hs-english-2017-2020-appendix-2,not_covered,
1583,log**,log,log,,**,high_school_selective_compulsory,word,L,158,150,moe-hs-english-2017-2020-appendix-2,not_covered,
