record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0069,after,,after,69,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0070,afternoon,,afternoon,70,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0071,afterward,,afterward,71,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0072,again,,again,72,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0073,against,,against,73,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0074,age,,age,74,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0075,agency,,agency,75,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0076,agenda,,agenda,76,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0077,ago,,ago,77,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0078,agree,,agree,78,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0079,agreement,,agreement,79,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0080,agriculture,,agriculture,80,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0081,ahead,,ahead,81,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0082,aid,,aid,82,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0083,aim,,aim,83,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0084,air,,air,84,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0085,airline,,airline,85,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0086,airport,,airport,86,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0087,alarm,,alarm,87,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0088,alcohol,,alcohol,88,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0089,alive,,alive,89,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0090,all,,all,90,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0091,allow,,allow,91,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0092,almost,,almost,92,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0093,alone,,alone,93,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0094,along,,along,94,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0095,alongside,,alongside,95,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0096,aloud,,aloud,96,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0097,already,,already,97,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0098,also,,also,98,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0099,alternative,,alternative,99,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0100,although,,although,100,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0101,altogether,,altogether,101,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0102,always,,always,102,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0103,a.m.,,a.m.,103,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
