record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0104,amateur,,amateur,104,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0105,amazing,,amazing,105,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0106,ambition,,ambition,106,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0107,ambitious,,ambitious,107,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0108,ambulance,,ambulance,108,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0109,America,,America,109,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0110,American,,American,110,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0111,among,,among,111,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0112,amount,,amount,112,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0113,amuse,,amuse,113,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0114,analyse,analyze,analyse (analyze),114,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0115,ancestor,,ancestor,115,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0116,ancient,,ancient,116,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0117,and,,and,117,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0118,anger,,anger,118,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0119,angle,,angle,119,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0120,angry,,angry,120,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0121,animal,,animal,121,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0122,ankle,,ankle,122,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0123,announce,,announce,123,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0124,annoy,,annoy,124,1,1,high_school_selective_compulsory,**,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0125,annual,,annual,125,1,1,high_school_compulsory,*,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0126,another,,another,126,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0127,answer,,answer,127,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0128,ant,,ant,128,1,1,compulsory_education,,A,123,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0129,anticipate,,anticipate,129,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0130,antique,,antique,130,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0131,anxiety,,anxiety,131,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0132,anxious,,anxious,132,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0133,any,,any,133,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0134,anybody,,anybody,134,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0135,anyhow,,anyhow,135,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
