phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
in hand,in hand,2,junior,true,r,in_hand%4:02:00::,false,13,evidence_ready_review,43.074,false
in particular,in particular,2,senior_high,true,r,in_particular%4:02:00::,false,13,evidence_ready_review,43.074,false
on time,on time,2,junior,true,a|r,on_time%3:00:00::|on_time%4:02:00::|on_time%5:00:00:due:00,false,13,evidence_ready_review,43.074,false
heart attack,heart attack,2,junior,true,n,heart_attack%1:26:00::,true,14,evidence_ready_review,43.069,false
natural history,natural history,2,senior_high,true,n,natural_history%1:09:00::,true,14,evidence_ready_review,43.069,false
blood pressure,blood pressure,2,junior,true,n,blood_pressure%1:19:00::,true,13,evidence_ready_review,42.074,false
bounce back,bounce back,2,senior_high,true,v,bounce_back%2:30:00::,true,6,evidence_ready_review,42.074,false
civil war,civil war,2,senior_high,true,n,civil_war%1:04:00::,true,13,evidence_ready_review,42.074,false
come over,come over,2,junior,true,v,come_over%2:32:00::,true,6,evidence_ready_review,42.074,false
cut off,cut off,2,junior,true,a|v,cut_off%2:30:00::|cut_off%2:32:00::|cut_off%2:35:00::|cut_off%2:35:01::|cut_off%2:35:02::|cut_off%2:35:03::|cut_off%5:00:00:cut:01,true,6,evidence_ready_review,42.074,false
look up,look up,2,junior,true,v,look_up%2:32:00::,true,6,evidence_ready_review,42.074,false
one step,one step,2,cet4,true,n|v,one-step%1:04:00::|one-step%2:38:00::,true,6,evidence_ready_review,42.074,false
put in,put in,2,junior,true,v,put_in%2:30:00::|put_in%2:32:00::|put_in%2:32:02::|put_in%2:33:00::|put_in%2:35:00::|put_in%2:40:00::,true,6,evidence_ready_review,42.074,false
